,classcode,oneway,streetname,cnn,from_cnn,to_cnn,from_cnn_coords,to_cnn_coords,length
0,5,B,GRANT AVE,6408000,25376000,25391000,"[-122.40789570242603, 37.802203159671244]","[-122.40789866598965, 37.80221802045265]",1.6717809795
1,5,B,HYDE ST,7141000,30028000,25543000,"[-122.41910554731129, 37.79948227457389]","[-122.41910945900483, 37.799501833031165]",2.20040829341
2,5,B,SACRAMENTO ST,11238000,25077000,30047000,"[-122.41190046905322, 37.79264824906129]","[-122.41192994408037, 37.7926445051445]",2.62156738117
3,5,B,LEAVENWORTH ST,8259000,25285000,30043000,"[-122.416931167961, 37.797050821901045]","[-122.41693604708581, 37.79707501856622]",2.72277585422
4,5,T,CLAY ST,4097000,25015000,25016000,"[-122.40990071352259, 37.79380616568101]","[-122.40993588613672, 37.793801690127175]",3.12841426088
5,5,B,PACIFIC AVE,10136000,25124000,25125000,"[-122.41250387574557, 37.7961920285995]","[-122.41254065701172, 37.79618740092784]",3.27046843818
6,5,B,JACKSON ST,7380000,25040000,25041000,"[-122.40870465390262, 37.795766841119885]","[-122.40874323384745, 37.795761981844365]",3.43051293404
7,5,B,VALLEJO ST,13086000,30040000,24827000,"[-122.40364496233072, 37.799224168458515]","[-122.4036903902703, 37.799218450520215]",4.03918189381
8,5,T,JONES ST,7568000,24931000,24927000,"[-122.41287203783463, 37.78530844835933]","[-122.41288123947324, 37.78535382301132]",5.10661118703
9,5,B,MASON ST,8825000,25418000,25419000,"[-122.41240815045687, 37.79971800201981]","[-122.41241755529198, 37.79976476929484]",5.26221976341
10,5,T,BRYANT ST,3296000,23882000,50083000,"[-122.40654518233545, 37.7728607496386]","[-122.40659028644498, 37.772825094459186]",5.60315365149
11,5,T,BUSH ST,3428000,24728000,24735000,"[-122.40433292291415, 37.790721934691284]","[-122.40439988637752, 37.79071347855981]",5.95514321023
12,5,B,UNION ST,12840000,25337000,28180000,"[-122.40633885798121, 37.80079513157939]","[-122.40640795442987, 37.80078641738705]",6.14381738106
13,5,B,VALLEJO ST,13093000,25332000,25333000,"[-122.40786949638931, 37.79869686129798]","[-122.40794511487938, 37.7986867483115]",6.73431093635
14,0,B,CAMPBELL AVE,3648000,51978000,52217000,"[-122.41035865407586, 37.716393384216246]","[-122.41043349650711, 37.71641377274132]",6.95824612982
15,5,B,BRANNAN ST,3084000,23893000,23913000,"[-122.40204602658937, 37.77396734310045]","[-122.40210257011337, 37.77392264528143]",7.02416214043
16,5,F,SACRAMENTO ST,11231000,24993000,24992000,"[-122.40728723230747, 37.79323363640825]","[-122.40737373845624, 37.793222721238024]",7.69268901848
17,0,B,ORIZABA AVE,9992000,52066000,52067000,"[-122.46263877142796, 37.71786643423759]","[-122.46263962555342, 37.71793603497304]",7.73475403479
18,5,B,LOMBARD ST,8443000,30035000,25465000,"[-122.41362271468556, 37.80275505836444]","[-122.4137187499589, 37.802743201845786]",8.53448146106
19,5,B,GOETTINGEN ST,6246000,20579000,20304000,"[-122.40212121173529, 37.71613450186235]","[-122.40209082836337, 37.71606052535326]",8.64364560918
20,4,B,16TH ST,727000,24180000,24175000,"[-122.42048249182183, 37.765002196873056]","[-122.42058060823194, 37.7649962696406]",8.64442668363
21,4,B,HOLLOWAY AVE,6989000,22740000,23022000,"[-122.47167358640837, 37.721631205161]","[-122.47176027155245, 37.721671203872354]",8.82124146552
22,5,B,SALINAS AVE,11319000,20565000,20564000,"[-122.3982295634611, 37.72112068363449]","[-122.39832598282868, 37.72114323756056]",8.83805509858
23,3,F,HARRISON ST,6728000,23929000,50077000,"[-122.40629596475063, 37.77551415431759]","[-122.40636853439533, 37.775456813502]",9.01290605125
24,4,T,BUSH ST,3435000,24975000,24973000,"[-122.40786893788531, 37.790275353735986]","[-122.40797042609098, 37.790262534709996]",9.02557915584
25,5,B,CHESTNUT ST,3966000,50345000,30060000,"[-122.42219083769001, 37.80260412054537]","[-122.42229284154624, 37.80259121616493]",9.07031608811
26,5,B,ACEVEDO AVE,2083000,33486000,23111000,"[-122.484640358946, 37.719842087683645]","[-122.48474447846452, 37.71984529203815]",9.1591617036
27,4,B,PINE ST,10458001,24687000,54143000,"[-122.40175412088979, 37.79200342923639]","[-122.40185937886076, 37.7919899716449]",9.36348504408
28,5,B,STEINER ST,12154000,30061000,26769000,"[-122.43759172935046, 37.79912484371793]","[-122.4376088348832, 37.79920944197666]",9.52022042911
29,0,B,SHIELDS ST,11806000,52067000,52065000,"[-122.46263962555342, 37.71793603497304]","[-122.46275203561405, 37.71793529122343]",9.88158653954
30,5,B,UNION ST,12844000,25344000,30724000,"[-122.40789837335839, 37.800600289771744]","[-122.4080098250505, 37.80058689431034]",9.89862301761
31,5,T,JACKSON ST,7375000,25033000,25021000,"[-122.40731987798243, 37.79594092157847]","[-122.407432089647, 37.79592682932698]",9.97707358371
